39 Migration start
331152 sending ram header

time_in_ns ram_sended_in_kb ram_remaining_in_kb
516586574 1474747 1052221
517525148 1478843 1052220
518439455 1482939 1052219
519353148 1487035 1052218
520267008 1491131 1052217
521180651 1495227 1052216
522094657 1499323 1052215
523064652 1503419 1052214
523978846 1507515 1052213
524892575 1511611 1052212
525806722 1515707 1052211
526749906 1519803 1052210
527663750 1523899 1052209
528577513 1527995 1052208
529491762 1532091 1052207
530462846 1536187 1052206
531377147 1540283 1052205
532290869 1544379 1052204
533204786 1548475 1052203
534118729 1552571 1052202
535032660 1556667 1052201
535946416 1560763 1052200
536884374 1564859 1052199
537855157 1568955 1052198
538769602 1573051 1052197
539683357 1577147 1052196
540597534 1581243 1052195
541511301 1585339 1052194
542425096 1589435 1052193
543338781 1593531 1052192
544252463 1597627 1052191
545221970 1601723 1052190
546136254 1605819 1052189
547074728 1609915 1052188
547988973 1614011 1052187
548902957 1618107 1052186
549816599 1622203 1052185
550730206 1626299 1052184
551643920 1630395 1052183
552614520 1634491 1052182
553529102 1638587 1052181
554443282 1642683 1052180
555357071 1646779 1052179
556270654 1650875 1052178
557208841 1654971 1052177
558123498 1659067 1052176
559037019 1663163 1052175
560006704 1667259 1052174
560921332 1671355 1052173
561835535 1675451 1052172
562749031 1679547 1052171
563663097 1683643 1052170
564576706 1687739 1052169
565490794 1691835 1052168
566404278 1695931 1052167
567398257 1700027 1052166
568312779 1704123 1052165
569226930 1708219 1052164
570140859 1712315 1052163
571054724 1716411 1052162
571968372 1720507 1052161
572882455 1724603 1052160
573796577 1728699 1052159
574764503 1732795 1052158
575678679 1736891 1052157
576592686 1740987 1052156
577551578 1745083 1052155
578465489 1749179 1052154
579379246 1753275 1052153
580293189 1757371 1052152
581207147 1761467 1052151
582177278 1765563 1052150
583091318 1769659 1052149
584005335 1773755 1052148
584919334 1777851 1052147
585833257 1781947 1052146
586771589 1786043 1052145
587685504 1790139 1052144
588599507 1794235 1052143
589570478 1798331 1052142
590485005 1802427 1052141
591399062 1806523 1052140
592313443 1810619 1052139
593227510 1814715 1052138
594141217 1818811 1052137
595055539 1822907 1052136
595969764 1827003 1052135
596963449 1831099 1052134
597877790 1835195 1052133
598791688 1839291 1052132
599705760 1843387 1052131
600619661 1847483 1052130
601533511 1851579 1052129
602447202 1855675 1052128
603360980 1859771 1052127
604330269 1863867 1052126
605244238 1867963 1052125
606158280 1872059 1052124
607096449 1876155 1052123
608010326 1880251 1052122
608923638 1884347 1052121
609837535 1888443 1052120
610751019 1892539 1052119
611720310 1896635 1052118
612634563 1900731 1052117
613548189 1904827 1052116
614466969 1908923 1052115
615381049 1913019 1052114
616295022 1917115 1052113
617233465 1921211 1052112
618147937 1925307 1052111
619119363 1929403 1052110
620033538 1933499 1052109
620947783 1937595 1052108
621861412 1941691 1052107
622775270 1945787 1052106
623688854 1949883 1052105
624602554 1953979 1052104
625516169 1958075 1052103
626486210 1962171 1052102
627424687 1966267 1052101
628338436 1970363 1052100
629251972 1974459 1052099
630165942 1978555 1052098
631080194 1982651 1052097
