Feb 10 19:40:28 dsm-f kernel: [   97.721236] SoftIWARP attached
Feb 10 19:40:28 dsm-f kernel: [   97.765615] [dsm_init] ip : 192.168.1.106
Feb 10 19:40:28 dsm-f kernel: [   97.765617] [dsm_init] port : 4444
Feb 10 19:40:38 dsm-f kernel: [  108.220973] [DSM_DSM]
Feb 10 19:42:57 dsm-f kernel: [  247.349977]  [_dsm_extract_page] got page ffffea000fbc2fc0  
Feb 10 19:42:57 dsm-f kernel: [  247.349979]  [_dsm_extract_page] faulting for page 00007f42db15e000  
Feb 10 19:42:57 dsm-f kernel: [  247.349981]  [_dsm_extract_page] got page ffffea000fbc3000  
Feb 10 19:42:57 dsm-f kernel: [  247.349982]  [_dsm_extract_page] faulting for page 00007f42db15f000  
Feb 10 19:42:57 dsm-f kernel: [  247.349984]  [_dsm_extract_page] got page ffffea000fbc3040  
Feb 10 19:42:57 dsm-f kernel: [  247.349985]  [_dsm_extract_page] faulting for page 00007f42db160000  
Feb 10 19:42:57 dsm-f kernel: [  247.349987]  [_dsm_extract_page] got page ffffea000fbc3080  
Feb 10 19:42:57 dsm-f kernel: [  247.349989]  [_dsm_extract_page] faulting for page 00007f42db161000  
Feb 10 19:42:57 dsm-f kernel: [  247.349990]  [_dsm_extract_page] got page ffffea000fbc30c0  
Feb 10 19:42:57 dsm-f kernel: [  247.349992]  [_dsm_extract_page] faulting for page 00007f42db162000  
Feb 10 19:42:57 dsm-f kernel: [  247.349994]  [_dsm_extract_page] got page ffffea000fbc3100  
Feb 10 19:42:57 dsm-f kernel: [  247.349995]  [_dsm_extract_page] faulting for page 00007f42db163000  
Feb 10 19:42:57 dsm-f kernel: [  247.349997]  [_dsm_extract_page] got page ffffea000fbc3140  
Feb 10 19:42:57 dsm-f kernel: [  247.349999]  [_dsm_extract_page] faulting for page 00007f42db164000  
Feb 10 19:42:57 dsm-f kernel: [  247.350000]  [_dsm_extract_page] got page ffffea000fbc3180  
Feb 10 19:42:57 dsm-f kernel: [  247.350002]  [_dsm_extract_page] faulting for page 00007f42db165000  
Feb 10 19:42:57 dsm-f kernel: [  247.350004]  [_dsm_extract_page] got page ffffea000fbc31c0  
Feb 10 19:42:57 dsm-f kernel: [  247.350005]  [_dsm_extract_page] faulting for page 00007f42db166000  
Feb 10 19:42:57 dsm-f kernel: [  247.350007]  [_dsm_extract_page] got page ffffea000fbc3200  
Feb 10 19:42:57 dsm-f kernel: [  247.350008]  [_dsm_extract_page] faulting for page 00007f42db167000  
Feb 10 19:42:57 dsm-f kernel: [  247.350010]  [_dsm_extract_page] got page ffffea000fbc3240  
Feb 10 19:42:57 dsm-f kernel: [  247.350011]  [_dsm_extract_page] faulting for page 00007f42db168000  
Feb 10 19:42:57 dsm-f kernel: [  247.350013]  [_dsm_extract_page] got page ffffea000fbc3280  
Feb 10 19:42:57 dsm-f kernel: [  247.350015]  [_dsm_extract_page] faulting for page 00007f42db169000  
Feb 10 19:42:57 dsm-f kernel: [  247.350016]  [_dsm_extract_page] got page ffffea000fbc32c0  
Feb 10 19:42:57 dsm-f kernel: [  247.350018]  [_dsm_extract_page] faulting for page 00007f42db16a000  
Feb 10 19:42:57 dsm-f kernel: [  247.350019]  [_dsm_extract_page] got page ffffea000fbc3300  
Feb 10 19:42:57 dsm-f kernel: [  247.350021]  [_dsm_extract_page] faulting for page 00007f42db16b000  
Feb 10 19:42:57 dsm-f kernel: [  247.350023]  [_dsm_extract_page] got page ffffea000fbc3340  
Feb 10 19:42:57 dsm-f kernel: [  247.350024]  [_dsm_extract_page] faulting for page 00007f42db16c000  
Feb 10 19:42:57 dsm-f kernel: [  247.350026]  [_dsm_extract_page] got page ffffea000fbc3380  
Feb 10 19:42:57 dsm-f kernel: [  247.350027]  [_dsm_extract_page] faulting for page 00007f42db16d000  
Feb 10 19:42:57 dsm-f kernel: [  247.350029]  [_dsm_extract_page] got page ffffea000fbc33c0  
Feb 10 19:42:57 dsm-f kernel: [  247.350031]  [_dsm_extract_page] faulting for page 00007f42db16e000  
Feb 10 19:42:57 dsm-f kernel: [  247.350032]  [_dsm_extract_page] got page ffffea000fbc3400  
Feb 10 19:42:57 dsm-f kernel: [  247.350034]  [_dsm_extract_page] faulting for page 00007f42db16f000  
Feb 10 19:42:57 dsm-f kernel: [  247.350035]  [_dsm_extract_page] got page ffffea000fbc3440  
Feb 10 19:42:57 dsm-f kernel: [  247.350037]  [_dsm_extract_page] faulting for page 00007f42db170000  
Feb 10 19:42:57 dsm-f kernel: [  247.350039]  [_dsm_extract_page] got page ffffea000fbc34c0  
Feb 10 19:42:57 dsm-f kernel: [  247.350040]  [_dsm_extract_page] faulting for page 00007f42db171000  
Feb 10 19:42:57 dsm-f kernel: [  247.350042]  [_dsm_extract_page] got page ffffea000fbc3500  
Feb 10 19:42:57 dsm-f kernel: [  247.350043]  [_dsm_extract_page] faulting for page 00007f42db172000  
Feb 10 19:42:57 dsm-f kernel: [  247.350045]  [_dsm_extract_page] got page ffffea000fbc3540  
Feb 10 19:42:57 dsm-f kernel: [  247.350047]  [_dsm_extract_page] faulting for page 00007f42db173000  
Feb 10 19:42:57 dsm-f kernel: [  247.350048]  [_dsm_extract_page] got page ffffea000fbc3580  
Feb 10 19:42:57 dsm-f kernel: [  247.350050]  [_dsm_extract_page] faulting for page 00007f42db174000  
Feb 10 19:42:57 dsm-f kernel: [  247.350052]  [_dsm_extract_page] got page ffffea000fbc35c0  
Feb 10 19:42:57 dsm-f kernel: [  247.350053]  [_dsm_extract_page] faulting for page 00007f42db175000  
Feb 10 19:42:57 dsm-f kernel: [  247.350055]  [_dsm_extract_page] got page ffffea000fbc3600  
Feb 10 19:42:57 dsm-f kernel: [  247.350056]  [_dsm_extract_page] faulting for page 00007f42db176000  
Feb 10 19:42:57 dsm-f kernel: [  247.350058]  [_dsm_extract_page] got page ffffea000fbc3640  
Feb 10 19:42:57 dsm-f kernel: [  247.350059]  [_dsm_extract_page] faulting for page 00007f42db177000  
Feb 10 19:42:57 dsm-f kernel: [  247.350061]  [_dsm_extract_page] got page ffffea000fbc3680  
Feb 10 19:42:57 dsm-f kernel: [  247.350062]  [_dsm_extract_page] faulting for page 00007f42db178000  
Feb 10 19:42:57 dsm-f kernel: [  247.350064]  [_dsm_extract_page] got page ffffea000fbc36c0  
Feb 10 19:42:57 dsm-f kernel: [  247.350066]  [_dsm_extract_page] faulting for page 00007f42db179000  
Feb 10 19:42:57 dsm-f kernel: [  247.350067]  [_dsm_extract_page] got page ffffea000fbc3700  
